title,Unnamed: 0,Desc,Unnamed: 0.1,author,genre,image_link,rating,bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12
A Million Little Pieces,2380,"Intense, unpredictable, and instantly engaging, this is a story of drug and alcohol abuse and rehabilitation as it has never been told before. It is also the introduction of a bold and talented literary voice. Before considering reading this book, please see the BookBrowse note on the book jacket/review page.BookBrowse Note: January 9th 2006: An article in the Smoking Gun claimed that James Frey (author of A Million Little Pieces and My Friend Leonard) fabricated key parts of his books. They cited police records, court documents and interviews with law enforcement agents which belie a number of Frey's claims regarding criminal charges against him, jail terms and his fugitive status.In an interview with the Smoking Gun, Frey admitted that he had 'embellished central details' in A Million Little Pieces and backtracked on claims he made in the book.January 26th 2006. Frey's publisher stated that while it initially stood by him, after further questioning of the author, the house has ""sadly come to the realization that a number of facts have been altered and incidents embellished."" It will be adding a a publisher's note and author's note to all future editions of A Million Little Pieces.",,James Frey,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483206985l/1241._SY475_.jpg,3.65,1241,James Frey,3.65,307276902,9.78E+12,eng,515,206011,10821,9/22/2005,Anchor Books,
A Painted House,2192,"""The hill people and the Mexicans arrived on the same day. It was a Wednesday, early in September 1952. The Cardinals were five games behind the Dodgers with three weeks to go, and the season looked hopeless. The cotton, however, was waist-high to my father, over my head, and he and my grandfather could be heard before supper whispering words that were seldom heard. It could be a ""good crop.""Thus begins the new novel from John Grisham, a story inspired by his own childhood in rural Arkansas. The narrator is a farm boy named Luke Chandler, age seven, who lives in the cotton fields with his parents and grandparents in a little house that's never been painted. The Chandlers farm eighty acres that they rent, not own, and when the cotton is ready they hire a truckload of Mexicans and a family from the Ozarks to help harvest it.For six weeks they pick cotton, battling the heat, the rain, the fatigue, and sometimes each other. As the weeks pass Luke sees and hears things no seven-year-old could possibly be prepared for, and he finds himself keeping secrets that not only threaten the crop but will change the lives of the Chandlers forever. ©2000, 2001 Belfry Holdings, Inc. (P)2001 Random House, Inc. Bantam Doubleday Dell Audio Publishing, a Division of Random House, Inc.",,John Grisham,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924850l/5360.jpg,3.7,5360,John Grisham,3.7,385337930,9.78E+12,eng,384,67857,3375,02-03-2004,Bantam,
A Passage to India,1911,"When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore, they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India', they seek the guidance of the charming and mercurial Dr Aziz, a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz, and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterful portrait of a society in the grip of imperialism, A Passage to India compellingly depicts the fate of individuals caught between the great political and cultural conflicts of the modern world. In his introduction, Pankaj Mishra outlines Forster's complex engagement with Indian society and culture. This edition reproduces the Abinger text and notes, and also includes four of Forster's essays on India, a chronology and further reading.",,E.M. Forster,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421883612l/45195.jpg,3.68,45195,E.M. Forster/Oliver Stallybrass/Pankaj Mishra,3.68,014144116X,9.78E+12,eng,376,55810,2148,8/30/2005,Penguin Books,
A Portrait of the Artist as a Young Man,1570,"The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction, A Portrait of the Artist as a Young Man is a novel of sexual awakening, religious rebellion and the essential search for voice and meaning that every nascent artist must face in order to blossom fully into themselves.",,James Joyce,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554800429l/7588.jpg,3.61,7588,James Joyce/Seamus Deane,3.61,142437344,9.78E+12,eng,329,108179,3536,3/25/2003,Penguin Classics,
A Prayer for Owen Meany,1444,"Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.",,John Irving,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010l/4473.jpg,4.23,4472,John Irving,4.23,679642595,9.78E+12,eng,641,1073,97,06-04-2002,Modern Library,
A Room with a View,1734,"""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconventional characters she meets at the Pension Bertolini: flamboyant romantic novelist Eleanor Lavish, the Cockney Signora, curious Mr Emerson and, most of all, his passionate son George.Lucy finds herself torn between the intensity of life in Italy and the repressed morals of Edwardian England, personified in her terminally dull fiancé Cecil Vyse. Will she ever learn to follow her own heart?",,E.M. Forster,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388781285l/3087.jpg,3.91,3087,E.M. Forster,3.91,1420925431,9.78E+12,eng,119,128596,3422,01-01-2005,Digireads.com,
A Scanner Darkly,2056,"Substance D is not known as Death for nothing. It is the most toxic drug ever to find its way on to the streets of LA. It destroys the links between the brain's two hemispheres, causing, first, disorientation and then complete and irreversible brain damage.The undercover narcotics agent who calls himself Bob Arctor is desperate to discover the ultimate source of supply. But to find any kind of lead he has to pose as a user and, inevitably, without realising what is happening, Arctor is soon as addicted as the junkies he works among...",,Philip K. Dick,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388737865l/14817.jpg,4.02,14817,Philip K. Dick,4.02,057507681X,9.78E+12,eng,219,70604,1925,8/17/2006,Gollancz,
A Separate Peace,1571,"An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war.Set at a boys boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world.A bestseller for more than thirty years, A Separate Peace is John Knowles crowning achievement and an undisputed American classic.",,John Knowles,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528860889l/5148._SY475_.jpg,3.57,5148,John Knowles/David Levithan,3.57,743253973,9.78E+12,eng,208,175779,6261,9/30/2003,Scribner,
A Streetcar Named Desire,2308,"The Pulitzer Prize and Drama Critics Circle Award winning play—reissued with an introduction by Arthur Miller (Death of a Salesman and The Crucible), and Williams’ essay “The World I Live In.”It is a very short list of 20th-century American plays that continue to have the same power and impact as when they first appeared—57 years after its Broadway premiere, Tennessee Williams’ A Streetcar Named Desire is one of those plays. The story famously recounts how the faded and promiscuous Blanche DuBois is pushed over the edge by her sexy and brutal brother-in-law, Stanley Kowalski. Streetcar launched the careers of Marlon Brando, Jessica Tandy, Kim Hunter, and Karl Malden, and solidified the position of Tennessee Williams as one of the most important young playwrights of his generation, as well as that of Elia Kazan as the greatest American stage director of the ’40s and ’50s.",,Tennessee Williams,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389153133l/12220.jpg,3.98,12220,Tennessee Williams,3.98,822210894,9.78E+12,eng,107,235224,2409,12-01-1952,Dramatists Play Service,
A Tale of Two Cities,1328,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.",,Charles Dickens,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg,3.84,1955,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,3.84,743487605,9.78E+12,eng,496,131,28,05-01-2004,Simon  Schuster,
A Thousand Acres,2178,"Aging Larry Cook announces his intention to turn over his 1,000-acre farm--one of the largest in Zebulon County, Iowa--to his three daughters, Caroline, Ginny, and Rose. A man of harsh sensibilities, he carves Caroline out of the deal because she has the nerve to be less than enthusiastic about her father's generosity. While Larry Cook deteriorates into a pathetic drunk, his daughters are left to cope with the often grim realities of life on a family farm--from battering husbands to cutthroat lenders. In this winner of the 1992 Pulitzer Prize for Fiction, Smiley captures the essence of such a life with stark, painful detail.",,Jane Smiley,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197504l/41193.jpg,3.81,41193,Jane Smiley,3.81,1400033837,9.78E+12,eng,371,53322,2358,12-02-2003,Anchor,
A Tree Grows in Brooklyn,1421,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",,Betty Smith,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484l/14891.jpg,4.26,14891,Betty  Smith,4.26,61120073,9.78E+12,eng,496,345283,16114,5/30/2006,HarperCollins Publishers,
A Walk to Remember,1735,"There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, and Landon had already dated a girl or two. He even swore that he had once been in love. Certainly the last person in town he thought he'd fall for was Jamie Sullivan, the daughter of the town's Baptist minister. A quiet girl who always carried a Bible with her schoolbooks, Jamie seemed content living in a world apart from the other teens. She took care of her widowed father, rescued hurt animals, and helped out at the local orphanage. No boy had ever asked her out. Landon would never have dreamed of it. Then a twist of fate made Jamie his partner for the homecoming dance, and Landon Carter's life would never be the same. Being with Jamie would show him the depths of the human heart and lead him to a decision so stunning it would send him irrevocably on the road to manhood. No other author today touches our emotions more deeply than Nicholas Sparks.Illuminating both the strength and the gossamer fragility of our deepest emotions, his two New York Times bestsellers, The Notebook and Message in a Bottle, have established him as the leading author of today's most cherished love stories. Now, in A Walk to Remember, he tells a truly unforgettable story, one that glimmers with all of his magic, holding us spellbound-and reminding us that in life each of us may find one great love, the kind that changes everything...",,Nicholas Sparks,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310l/35545737._SY475_.jpg,4.17,3473,Nicholas Sparks,4.17,446693804,9.78E+12,eng,240,555995,10173,09-01-2004,Grand Central Publishing,
About a Boy,1781,"'How cool was Will Freeman?'Too cool! At thirty-six, he's as hip as a teenager. He's single, child-free, goes to the right clubs and knows which trainers to wear. He's also found a great way to score with women: attend single parents' groups full of available (and grateful) mothers, all hoping to meet a Nice Guy.Which is how Will meets Marcus, the oldest twelve-year-old on the planet. Marcus is a bit strange: he listens to Joni Mitchell and Mozart, looks after his mum and has never owned a pair of trainers. But Marcus latches on to Will - and won't let go. Can Will teach Marcus how to grow up cool? And can Marcus help Will just to grow up?",,Nick Hornby,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382004144l/4271.jpg,3.8,4273,Nick Hornby,3.8,141007338,9.78E+12,eng,278,825,73,04-04-2002,Penguin,
Accidental Empires,512,"In 1999, in The Return of Depression Economics, Paul Krugman surveyed the economic crises that had swept across Asia and Latin America, and pointed out that those crises were a warning for all of us: like diseases that have become resistant to antibiotics, the economic maladies that caused the Great Depression were making a comeback. In the years that followed, as Wall Street boomed and financial wheeler-dealers made vast profits, the international crises of the 1990s faded from memory. But now depression economics has come to America: when the great housing bubble of the mid-2000s burst, the U.S. financial system proved as vulnerable as those of developing countries caught up in earlier crises and a replay of the 1930s seems all too possible. In this new, greatly updated edition of The Return of Depression Economics, Krugman shows how the failure of regulation to keep pace with an increasingly out-of-control financial system set the United States, and the world as a whole, up for the greatest financial crisis since the 1930s. He also lays out the steps that must be taken to contain the crisis, and turn around a world economy sliding into a deep recession. Brilliantly crafted in Krugman's trademark style--lucid, lively, and supremely informed--this new edition of The Return of Depression Economics will become an instant cornerstone of the debate over how to respond to the crisis. ",512,Robert X. Cringely,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405640145l/27652.jpg,4.01,27652,Robert X. Cringely,4.01,887308554,9.78E+12,eng,384,1570,63,9/13/1996,Harper Business,
Aesop's Fables,2373,"Aesop's Fables or Aesopica refers to a collection of fables credited to Aesop (620-560 BC), a slave and story-teller who lived in Ancient Greece. Aesop's Fables have become a blanket term for collections of brief fables, usually involving anthropomorphic animals. Many stories included in Aesop's Fables, such as The Fox and the Grapes (from which the idiom ""sour grapes"" was derived), The Tortoise and the Hare, The North Wind and the Sun and The Boy Who Cried Wolf, are well-known throughout the world.",,Aesop,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389064715l/21348.jpg,4.05,20781,Aesop/Ann McGovern,4.05,590438808,9.78E+12,eng,80,108,10,11-01-1963,Scholastic Paperbacks,
After Dark,1824,"A short, sleek novel of encounters set in Tokyo during the witching hours between midnight and dawn, and every bit as gripping as Haruki Murakami’s masterworks The Wind-Up Bird Chronicle and Kafka on the Shore.At its center are two sisters—Eri, a fashion model slumbering her way into oblivion, and Mari, a young student soon led from solitary reading at an anonymous Denny’s toward people whose lives are radically alien to her own: a jazz trombonist who claims they’ve met before, a burly female “love hotel” manager and her maid staff, and a Chinese prostitute savagely brutalized by a businessman. These “night people” are haunted by secrets and needs that draw them together more powerfully than the differing circumstances that might keep them apart, and it soon becomes clear that Eri’s slumber—mysteriously tied to the businessman plagued by the mark of his crime—will either restore or annihilate her.After Dark moves from mesmerizing drama to metaphysical speculation, interweaving time and space as well as memory and perspective into a seamless exploration of human agency—the interplay between self-expression and empathy, between the power of observation and the scope of compassion and love. Murakami’s trademark humor, psychological insight, and grasp of spirit and morality are here distilled with an extraordinary, harmonious mastery.",,Haruki Murakami,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437952316l/17803._SY475_.jpg,3.7,17803,Haruki Murakami/Jay Rubin,3.7,307265838,9.78E+12,eng,191,80308,4506,05-08-2007,Knopf Publishing Group,
Alice in Wonderland,1923,"
This is an adaptation. For the editions of the original book, see here
.Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English mathematician Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre.",,Lewis Carroll,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382l/13023.jpg,4.03,13023,Lewis Carroll/Jane Carruth/Rene Cloke,4.03,517223627,9.78E+12,eng,92,364782,5234,09-07-2004,Gramercy Books,
Alice's Adventures in Wonderland,1843,"After a tumble down the rabbit hole, Alice finds herself far away from home in the absurd world of Wonderland. As mind-bending as it is delightful, Lewis Carroll’s 1865 novel is pure magic for young and old alike.",,Lewis Carroll,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391204048l/6324090.jpg,4.02,24218,Lewis Carroll/Helen Oxenbury,4.02,763620491,9.78E+12,eng,208,65,5,03-01-2003,Candlewick Press,
